**********************************************************************************
****Monthly Annual Temperature Deviations.  (0 - 30N)                         ****
****1881-2005                                                                 ****
****                                                                          ****
****August 2006                                                               ****
****                                                                          ****
****Source: K.M. Lugina*, P.Ya. Groisman**, K.Ya, Vinnikov***,                ****
****        V.V. Koknaeva****, and N.A. Speranskaya****.                      ****
****                                                                          ****
****    *Department of Geography, St. Petersburg State University,            ****
****     St. Petersburg, Russia.                                              ****
****   **UCAR Project Scientist, National Climatic Data Center,               ****
****     Asheville, North Carolina.                                           ****
****  ***Department of Atmospheric Sciences, University of Maryland,          ****
****     College Park, Maryland.                                              ****
**** ****State Hydrological Institute, St. Petersburg, Russia.                ****
****                                                                          ****
**********************************************************************************

Monthly temperature deviation from the 25 year average of 1951-1975.
Missing values are replaced with -9.99.  In degrees Celsius.


----------------------------------------------------------------------------------------------------
year    jan     feb     mar    apr      may     jun    july     aug     sep     oct     nov    dec
----------------------------------------------------------------------------------------------------
1881   -.25     .10    -.13   -.14      .07    -.11     .32     .19     .07     .20    -.16   -.02
1882    .33     .00    -.02   -.17     -.05    -.31    -.24    -.08    -.24    -.01    -.23    .37
1883    .02    -.03    -.30   -.15     -.43    -.24    -.14     .32    -.21    -.01    -.38   -.61
1884   -.75    -.53    -.65   -.94     -.91    -.34    -.19    -.11    -.28    -.51    -.85   -.68
1885   -.39    -.78    -.42   -.52     -.33     .42     .24     .38    -.03    -.42     .24   -.47
1886   -.44    -.43    -.45   -.51     -.11    -.05     .32     .33     .11     .11    -.48   -.82
1887   -.43    -.42    -.80   -.56     -.58    -.49    -.34    -.25    -.23    -.41    -.41   -.58
1888   -.72    -.52    -.43    .27     -.25     .06     .10     .16    -.01     .09     .13    .09
1889   -.19    -.01     .17    .50      .52     .13     .19     .18    -.25    -.29    -.45   -.15
1890   -.21    -.14    -.37   -.18     -.29    -.33    -.36    -.32    -.19    -.13    -.08    .15
1891   -.41    -.29    -.41   -.20     -.33     .06    -.01     .02     .13    -.11    -.17   -.05
1892   -.16     .12    -.29   -.24     -.39    -.28    -.24    -.37    -.19    -.26    -.18   -.42
1893   -.42    -.50    -.60   -.37     -.57    -.38     .02     .11     .03    -.24    -.24   -.22
1894   -.32    -.35    -.37   -.23     -.22    -.17    -.04    -.24    -.01     .04    -.03    .02
1895   -.26    -.32    -.29   -.07      .05     .16    -.01     .20     .23     .12     .03   -.01
1896   -.06    -.12    -.32    .11     -.16    -.07     .17    -.09     .00     .00     .16    .23
1897    .41     .61     .69    .30      .17     .20     .10     .13     .14     .16     .18   -.03
1898    .12    -.20    -.26   -.20     -.06    -.13    -.11    -.12    -.10     .01     .12   -.36
1899   -.31    -.36    -.13   -.10      .06    -.13     .34     .40     .23    -.23     .03    .27
1900    .10     .15     .26    .05     -.23     .04    -.06     .33     .22     .24     .22    .29
1901    .39    -.27    -.14   -.03     -.17    -.11     .04     .07     .02     .00    -.46   -.33
1902   -.08    -.43    -.11   -.05      .07     .13     .17     .36     .05    -.28    -.08   -.32
1903   -.20    -.44    -.14   -.19     -.35    -.24     .02     .05    -.06    -.12    -.37   -.51
1904   -.52    -.67    -.57   -.59     -.66    -.32    -.32    -.07    -.21    -.24    -.42   -.44
1905   -.52    -.76    -.33   -.19     -.11     .06     .02     .10    -.05     .01     .07    .00
1906   -.12    -.10    -.50   -.11     -.06    -.16     .09    -.17     .09     .03     .00   -.04
1907   -.10    -.42    -.39   -.62     -.58    -.32    -.19    -.40    -.08    -.13    -.16   -.15
1908   -.22    -.57    -.23   -.12     -.52    -.26    -.31    -.28    -.26    -.32    -.57   -.32
1909   -.14    -.17    -.05   -.52     -.43    -.35    -.29    -.18    -.07     .00     .06   -.19
1910   -.30    -.34    -.48   -.31     -.44    -.31    -.33    -.21    -.20    -.37    -.20   -.30
1911   -.05    -.47    -.30   -.37     -.48    -.20    -.23    -.18    -.09    -.24    -.25   -.21
1912   -.21    -.10    -.06   -.15     -.02     .11    -.15    -.03    -.18    -.25    -.26   -.28
1913   -.18    -.35    -.68   -.21     -.56    -.22    -.20    -.05    -.25    -.38    -.26   -.26
1914   -.01    -.31    -.16   -.28     -.04     .04    -.10    -.06     .06     .13     .22    .08
1915   -.04    -.15    -.18   -.26     -.06     .33     .14     .28     .26     .35     .24    .01
1916    .01    -.11    -.08   -.19     -.25    -.21    -.23    -.32    -.32    -.22    -.32   -.34
1917   -.52    -.70    -.54   -.58     -.81    -.36    -.11    -.18    -.42    -.27    -.39   -.58
1918   -.88    -.50    -.61   -.82     -.52    -.39    -.07    -.26    -.13     .03    -.07    .06
1919    .12     .21     .03   -.11     -.18    -.18    -.29    -.07    -.47    -.14    -.14   -.24
1920   -.20    -.37    -.36   -.36     -.43    -.11     .09    -.05     .11     .01    -.07   -.28
1921   -.20    -.32    -.27   -.10     -.30    -.10    -.09    -.14    -.17    -.27    -.18    .02
1922   -.08    -.18    -.44   -.12     -.20    -.11    -.05    -.14    -.13    -.14    -.22   -.25
1923   -.10    -.52    -.33   -.46     -.33    -.22    -.39    -.37    -.14    -.25    -.29   -.05
1924   -.05    -.10     .00   -.06     -.14    -.06    -.09    -.01    -.17    -.23    -.14   -.25
1925   -.76    -.54    -.29   -.24     -.02    -.13    -.01     .06     .06     .13     .21    .16
1926    .08     .37     .20    .09      .24     .32     .30     .20     .16     .26     .07    .14
1927    .19     .08     .04   -.20      .02     .10     .12     .11     .02     .25     .33    .41
1928    .33     .00     .08    .03      .06    -.03     .17     .04     .06     .04     .06    .05
1929    .04    -.13    -.14   -.15     -.10    -.15    -.07    -.22    -.07     .05    -.19   -.27
1930   -.47    -.06    -.17   -.15     -.16    -.14     .21     .18     .21     .13     .16    .25
1931    .40     .34     .37    .45      .24     .40     .27     .30     .21     .21     .04    .11
1932   -.05    -.08    -.17    .17     -.16    -.02     .03    -.04    -.03     .13     .09   -.10
1933    .00     .09    -.07   -.30     -.22    -.16    -.24    -.33    -.38    -.29    -.22   -.20
1934   -.42    -.55    -.51   -.26     -.08     .04     .17     .12     .20     .15     .11    .21
1935    .08    -.22     .11   -.09     -.09    -.05     .01    -.12    -.10     .05    -.09    .04
1936   -.04     .17     .00    .12      .02    -.09    -.01    -.10    -.13    -.05     .05    .07
1937   -.07     .12     .05    .19      .08     .19     .08     .14     .27     .23     .34    .30
1938    .29     .27    -.05   -.16     -.16    -.17    -.17    -.07    -.10    -.04    -.32    .01
1939    .06    -.29    -.16   -.29     -.17    -.12    -.04    -.08    -.01     .08     .07    .16
1940   -.09     .04    -.13    .09      .26     .28     .25     .12     .22     .27     .14    .32
1941    .53     .39     .23    .34      .35     .16     .16     .25     .11     .33     .30    .28
1942    .06     .27     .13    .08      .08     .20    -.01    -.14     .02     .06     .22    .13
1943   -.10    -.42    -.51   -.48     -.13    -.35    -.23    -.28    -.20    -.16    -.08   -.01
1944   -.13    -.24    -.40   -.22     -.13     .02    -.04    -.05    -.06     .11     .21   -.12
1945    .11    -.18    -.19   -.10     -.22     .13    -.01    -.02     .00    -.24     .11   -.04
1946    .07     .12     .22    .08      .02     .10    -.02    -.27     .06    -.03     .06    .23
1947    .17     .03     .05    .09      .01     .15     .16     .06     .13     .16     .05    .13
1948   -.03     .07    -.13   -.11      .01    -.04    -.02     .04     .10    -.06    -.17    .10
1949   -.28    -.29    -.15   -.10     -.06    -.07    -.11    -.03    -.05     .05    -.07    .02
1950    .04    -.09    -.11   -.16     -.12    -.10    -.33    -.27    -.11    -.09    -.10   -.17
1951   -.07    -.24    -.07   -.06     -.05     .01     .11     .25     .24     .37     .23    .16
1952    .21     .23     .04    .04      .13     .09     .02    -.03    -.01     .13     .18    .10
1953    .28     .16     .14    .09      .08     .16     .08     .15     .10     .18     .25   -.01
1954    .16     .13    -.06    .11     -.05    -.09    -.18    -.20    -.08    -.22     .02   -.16
1955   -.05     .05    -.09   -.23     -.18    -.22    -.30    -.20    -.22    -.20    -.16   -.27
1956   -.32    -.12    -.11   -.17     -.21    -.24    -.35    -.24    -.19    -.18    -.22   -.18
1957   -.21    -.21    -.29   -.25     -.12     .07     .18     .15     .14    -.03     .21    .40
1958    .33     .08     .34    .48      .30     .19     .05     .13     .28     .24     .13    .37
1959    .28     .05     .21    .20      .07     .21     .02    -.09     .09     .06     .00    .13
1960    .03     .10     .03   -.06     -.06     .09     .09     .16     .13     .08     .27    .16
1961    .25    -.05     .12    .09      .22     .06    -.11     .01    -.12    -.11    -.25   -.11
1962   -.14    -.06    -.07    .08     -.01    -.17     .11     .01    -.01    -.01     .23    .08
1963   -.03     .09    -.06   -.07     -.02     .13     .20     .25     .25     .25     .20    .18
1964    .05     .06     .32    .09     -.06    -.13    -.17    -.23    -.21    -.35    -.41   -.47
1965   -.31    -.29    -.40   -.52     -.25    -.22    -.08    -.14    -.09     .00     .08   -.02
1966    .13     .24     .06    .13      .04     .09     .23     .26     .06     .03    -.05    .01
1967   -.19    -.18    -.25   -.14      .07    -.06     .02    -.13    -.09    -.15     .02   -.17
1968   -.31    -.53    -.40   -.43     -.19    -.23     .02     .11     .07     .04     .01    .25
1969    .17     .32     .59    .43      .46     .27     .17     .14     .19     .16     .20    .32
1970    .21     .44     .18    .36      .19     .21     .02     .04    -.08    -.01    -.12    .04
1971   -.29    -.23    -.27   -.32     -.33    -.33    -.22    -.40    -.19    -.35    -.35   -.29
1972   -.25    -.39    -.21   -.23     -.21    -.02     .23     .13     .22     .30     .06    .14
1973    .22     .53     .44    .39      .39     .17     .21     .04     .06     .05    -.09   -.32
1974   -.11    -.19    -.14    .00     -.05    -.07    -.05    -.02    -.28    -.06    -.26   -.22
1975   -.22     .02    -.03   -.14     -.20    -.10    -.25    -.20    -.31    -.22    -.31   -.43
1976   -.29    -.22    -.39   -.43     -.28    -.28    -.07    -.07     .02     .06    -.06    .23
1977    .01     .10     .19    .19      .05     .27     .27     .24     .34     .25     .22    .39
1978    .11     .37     .34    .25      .28     .17     .15     .00     .03     .16     .03    .34
1979    .45     .46     .17    .40      .09     .29     .43     .28     .34     .30     .40    .25
1980    .38     .29     .45    .64      .48     .62     .51     .25     .36     .35     .28    .14
1981    .02     .22     .47    .55      .21     .31     .30     .49     .42     .37     .23    .51
1982    .34     .19     .15    .28      .13     .42     .49     .36     .51     .29     .06   -.11
1983   -.24     .34     .13    .38      .78     .66     .63     .54     .58     .39     .49    .19
1984   -.21     .02     .37    .52      .42     .26     .06     .14     .07     .02     .12    .01
1985    .16     .08     .30    .10      .23     .06     .13     .16     .20     .16     .10    .06
1986    .33     .23     .15    .54      .18     .37     .37     .50     .35     .23     .28    .13
1987    .40     .47     .24    .26      .42     .72     .84     .73     .80     .53     .91    .72
1988    .62     .66     .68    .51      .53     .32     .45     .40     .40     .29     .10    .12
1989   -.25    -.37    -.30    .06      .16     .18     .29     .25     .35     .16     .44    .11
1990    .49     .31     .29    .62      .41     .54     .29     .62     .58     .70     .80    .58
1991    .43     .58     .39    .57      .47     .45     .65     .38     .51     .25     .17    .28
1992   -.02    -.13     .19    .31      .20     .55     .25     .31     .39     .34     .18    .26
1993   -.07     .10     .17    .31      .33     .54     .47     .62     .45     .58     .51    .50
1994    .36     .43     .01    .48      .33     .38     .44     .28     .45     .44     .51    .44
1995    .47     .45     .32    .43      .47     .75     .84     .75     .72     .64     .60    .58
1996    .58     .65     .33    .28      .61     .43     .64     .44     .51     .47     .29    .36
1997    .38     .18     .35    .12      .49     .62     .73     .63     .71     .66     .73    .69
1998    .83    1.00     .77   1.10      .93     .91     .76     .75     .60     .69     .77    .55
1999    .48     .51     .39    .44      .30     .30     .26     .23     .43     .29     .47    .33
2000    .40     .09     .30    .56      .61     .38     .60     .48     .45     .48     .42    .49
2001    .46     .60     .67    .72      .66     .52     .67     .76     .79     .72     .63   1.08
2002    .57     .62     .80    .80      .78     .82     .97     .70     .77     .86     .58    .95
2003    .73     .98     .70    .90      .89     .59     .62     .76     .65     .86     .87    .60
