"","Year","Month","co2","Temperature"
"1",1974,5,333.145,-0.05
"2",1974,6,332.028,-0.07
"3",1974,7,330.7125,-0.05
"4",1974,8,329.0725,-0.02
"5",1974,9,327.324,-0.28
"6",1974,10,327.335,-0.06
"7",1974,11,328.33,-0.26
"8",1974,12,329.652,-0.22
"9",1975,1,330.76,-0.22
"10",1975,2,331.5325,0.02
"11",1975,3,332.122,-0.03
"12",1975,4,333.245,-0.14
"13",1975,5,333.91,-0.2
"14",1975,6,333.396,-0.1
"15",1975,7,331.68,-0.25
"16",1975,8,329.768,-0.2
"17",1975,9,328.325,-0.31
"18",1975,10,328.593333333333,-0.22
"19",1975,11,329.438,-0.31
"20",1976,1,331.62,-0.29
"21",1976,2,332.704,-0.22
"22",1976,3,333.8425,-0.39
"23",1976,4,334.535,-0.43
"24",1976,5,334.72,-0.28
"25",1976,6,334.15,-0.28
"26",1976,7,332.93,-0.07
"27",1976,8,330.698,-0.07
"28",1976,9,328.9225,0.02
"29",1976,10,328.89,0.06
"30",1976,11,330.465,-0.06
"31",1976,12,331.9175,0.23
"32",1977,1,332.714,0.01
"33",1977,2,333.4475,0.1
"34",1977,3,334.9825,0.19
"35",1977,4,336.1725,0.19
"36",1977,5,336.864,0.05
"37",1977,6,336.0525,0.27
"38",1977,7,334.558,0.27
"39",1977,8,332.3625,0.24
"40",1977,9,331.1325,0.34
"41",1977,10,331.394,0.25
"42",1977,11,332.545,0.22
"43",1977,12,333.69,0.39
"44",1978,1,335.014,0.11
"45",1978,2,335.365,0.37
"46",1978,3,336.7475,0.34
"47",1978,4,337.818,0.25
"48",1978,5,338.04,0.28
"49",1978,6,337.9175,0.17
"50",1978,7,336.17,0.15
"51",1978,8,334.33,0
"52",1978,9,332.3075,0.03
"53",1978,10,332.542,0.16
"54",1978,11,333.8475,0.03
"55",1978,12,334.978,0.34
"56",1979,1,336.5175,0.45
"57",1979,2,336.715,0.46
"58",1979,3,338.4125,0.17
"59",1979,4,339.072,0.4
"60",1979,5,339.196666666667,0.09
"61",1979,6,339.205,0.29
"62",1979,7,337.452,0.43
"63",1979,8,335.6475,0.28
"64",1979,9,333.892,0.34
"65",1979,10,334.32,0.3
"66",1979,11,335.4125,0.4
"67",1979,12,336.966,0.25
"68",1980,1,337.9125,0.38
"69",1980,2,338.48,0.29
"70",1980,3,340.066,0.45
"71",1980,4,341.06,0.64
"72",1980,5,341.4675,0.48
"73",1980,6,341.182,0.62
"74",1980,7,339.0775,0.51
"75",1980,8,337.464,0.25
"76",1980,9,335.9575,0.36
"77",1980,10,336.2575,0.35
"78",1980,11,337.436,0.28
"79",1980,12,338.4325,0.14
"80",1981,1,339.3975,0.02
"81",1981,2,340.5275,0.22
"82",1981,3,341.69,0.47
"83",1981,4,342.6675,0.55
"84",1981,5,342.988,0.21
"85",1981,6,342.2825,0.31
"86",1981,7,340.6525,0.3
"87",1981,8,338.262,0.49
"88",1981,9,336.775,0.42
"89",1981,10,337.1675,0.37
"90",1981,11,338.76,0.23
"91",1981,12,339.97,0.51
"92",1982,1,341.11,0.34
"93",1982,2,341.9,0.19
"94",1982,3,342.673333333333,0.15
"95",1982,4,344.14,0.28
"96",1982,5,344.498,0.13
"97",1982,6,343.7,0.42
"98",1982,7,342.2575,0.49
"99",1982,8,340.024,0.36
"100",1982,9,338.1125,0.51
"101",1982,10,338.452,0.29
"102",1982,11,339.7525,0.06
"103",1982,12,341.0375,-0.11
"104",1983,1,341.822,-0.24
"105",1983,2,342.8925,0.34
"106",1983,3,343.76,0.13
"107",1983,4,345.2975,0.38
"108",1983,5,345.992,0.78
"109",1983,6,345.5425,0.66
"110",1983,7,343.914,0.63
"111",1983,8,341.633333333333,0.54
"112",1983,9,340.3125,0.58
"113",1983,10,340.548,0.39
"114",1983,11,341.745,0.49
"115",1983,12,343.07,0.19
"116",1984,1,344.166,-0.21
"117",1984,2,344.855,0.02
"118",1984,3,345.5425,0.37
"119",1984,4,347.6,0.52
"120",1984,5,347.565,0.42
"121",1984,6,346.975,0.26
"122",1984,7,345.452,0.06
"123",1984,8,343.41,0.14
"124",1984,9,341.398,0.07
"125",1984,10,341.78,0.02
"126",1984,11,343.1725,0.12
"127",1984,12,344.8775,0.01
"128",1985,1,345.32,0.16
"129",1985,2,346.235,0.08
"130",1985,3,347.854,0.3
"131",1985,4,348.4575,0.1
"132",1985,5,349.08,0.23
"133",1985,6,348.162,0.06
"134",1985,7,346.58,0.13
"135",1985,8,344.7325,0.16
"136",1985,9,343.152,0.2
"137",1985,10,343.275,0.16
"138",1985,11,344.555,0.1
"139",1985,12,345.958,0.06
"140",1986,1,346.56,0.33
"141",1986,2,347.305,0.23
"142",1986,3,348.064,0.15
"143",1986,4,349.995,0.54
"144",1986,5,350.375,0.18
"145",1986,6,349.852,0.37
"146",1986,7,348.005,0.37
"147",1986,8,345.888,0.5
"148",1986,9,345.17,0.35
"149",1986,10,344.5675,0.23
"150",1986,11,346.15,0.28
"151",1986,12,347.2325,0.13
"152",1987,1,348.59,0.4
"153",1987,2,348.765,0.47
"154",1987,3,349.998,0.24
"155",1987,4,351.2925,0.26
"156",1987,5,352.132,0.42
"157",1987,6,351.255,0.72
"158",1987,7,350.0975,0.84
"159",1987,8,347.77,0.73
"160",1987,9,346.335,0.8
"161",1987,10,346.6925,0.53
"162",1987,11,348.084,0.91
"163",1987,12,349.2725,0.72
"164",1988,1,350.678,0.62
"165",1988,2,351.925,0.66
"166",1988,3,352.285,0.68
"167",1988,4,353.7275,0.51
"168",1988,5,354.178,0.53
"169",1988,6,353.6475,0.32
"170",1988,7,352.328,0.45
"171",1988,8,350.1675,0.4
"172",1988,9,348.8975,0.4
"173",1988,10,349.232,0.29
"174",1988,11,350.295,0.1
"175",1988,12,351.4975,0.12
"176",1989,1,352.922,-0.25
"177",1989,2,353.37,-0.37
"178",1989,3,354.02,-0.3
"179",1989,4,355.662,0.06
"180",1989,5,355.945,0.16
"181",1989,6,355.2525,0.18
"182",1989,7,353.84,0.29
"183",1989,8,351.515,0.25
"184",1989,9,349.95,0.35
"185",1989,10,350.35,0.16
"186",1989,11,351.7125,0.44
"187",1989,12,352.984,0.11
"188",1990,1,353.9175,0.49
"189",1990,2,355.125,0.31
"190",1990,3,355.745,0.29
"191",1990,4,356.444,0.62
"192",1990,5,357.365,0.41
"193",1990,6,356.25,0.54
"194",1990,7,354.73,0.29
"195",1990,8,352.82,0.62
"196",1990,9,351.26,0.58
"197",1990,10,351.7425,0.7
"198",1990,11,353.18,0.8
"199",1990,12,354.388,0.58
"200",1991,1,354.95,0.43
"201",1991,2,355.7925,0.58
"202",1991,3,357.526,0.39
"203",1991,4,358.7675,0.57
"204",1991,5,359.1475,0.47
"205",1991,6,357.96,0.45
"206",1991,7,355.85,0.65
"207",1991,8,353.7525,0.38
"208",1991,9,352.19,0.51
"209",1991,10,352.55,0.25
"210",1991,11,353.8475,0.17
"211",1991,12,355.312,0.28
"212",1992,1,356.185,-0.02
"213",1992,2,357.14,-0.13
"214",1992,3,357.904,0.19
"215",1992,4,359.3,0.31
"216",1992,5,359.726,0.2
"217",1992,6,359.015,0.55
"218",1992,7,356.645,0.25
"219",1992,8,354.69,0.31
"220",1992,9,353.1,0.39
"221",1992,10,353.2975,0.34
"222",1992,11,354.384,0.18
"223",1992,12,355.7475,0.26
"224",1993,1,357.066,-0.07
"225",1993,2,357.6275,0.1
"226",1993,3,358.505,0.17
"227",1993,4,359.3275,0.31
"228",1993,5,360.176,0.33
"229",1993,6,359.3225,0.54
"230",1993,7,357.2675,0.47
"231",1993,8,355.448,0.62
"232",1993,9,354.0425,0.45
"233",1993,10,354.254,0.58
"234",1993,11,355.6875,0.51
"235",1993,12,357.0425,0.5
"236",1994,1,358.23,0.36
"237",1994,2,358.9575,0.43
"238",1994,3,360.305,0.01
"239",1994,4,361.3025,0.48
"240",1994,5,361.596,0.33
"241",1994,6,360.655,0.38
"242",1994,7,359.216,0.44
"243",1994,8,357.16,0.28
"244",1994,9,355.69,0.45
"245",1994,10,356.186,0.44
"246",1994,11,357.71,0.51
"247",1994,12,359.07,0.44
"248",1995,1,359.956,0.47
"249",1995,2,361.125,0.45
"250",1995,3,361.87,0.32
"251",1995,4,363.182,0.43
"252",1995,5,363.8975,0.47
"253",1995,6,363.0475,0.75
"254",1995,7,361.392,0.84
"255",1995,8,358.755,0.75
"256",1995,9,358.3125,0.72
"257",1995,10,358.116,0.64
"258",1995,11,359.55,0.6
"259",1995,12,360.924,0.58
"260",1996,1,362.1625,0.58
